11:34:37.597429 git.c:785                    | d1 | main                     | exit         |     |  0.218902 |           |              | code:0
11:34:37.597466 trace2/tr2_tgt_perf.c:213    | d1 | main                     | atexit       |     |  0.218941 |           |              | code:0
11:34:37.598668 run-command.c:993            | d0 | main                     | child_exit   |     |  0.246719 |  0.221892 |              | [ch0] pid:8085 code:0
11:34:37.598783 git.c:785                    | d0 | main                     | exit         |     |  0.246840 |           |              | code:0
11:34:37.598804 trace2/tr2_tgt_perf.c:213    | d0 | main                     | atexit       |     |  0.246861 |           |              | code:0
11:34:37.603438 common-main.c:48             | d0 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:37.603472 common-main.c:49             | d0 | main                     | start        |     |  0.000538 |           |              | git branch -f refs/bundles/2021-10-26 e9e5ba39a78c8f5057262d49e261b42a8660d5b9
11:34:37.603580 repository.c:132             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:37.603811 git.c:523                    | d0 | main                     | cmd_name     |     |           |           |              | branch (branch)
11:34:37.604885 git.c:785                    | d0 | main                     | exit         |     |  0.001958 |           |              | code:0
11:34:37.604908 trace2/tr2_tgt_perf.c:213    | d0 | main                     | atexit       |     |  0.001982 |           |              | code:0
11:34:37.608429 common-main.c:48             | d0 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:37.608464 common-main.c:49             | d0 | main                     | start        |     |  0.000518 |           |              | git config --replace-all bundle.latestTimestamp 1635203232
11:34:37.608576 repository.c:132             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:37.608808 git.c:523                    | d0 | main                     | cmd_name     |     |           |           |              | config (config)
11:34:37.609180 git.c:785                    | d0 | main                     | exit         |     |  0.001242 |           |              | code:0
11:34:37.609206 trace2/tr2_tgt_perf.c:213    | d0 | main                     | atexit       |     |  0.001268 |           |              | code:0
11:34:37.629427 common-main.c:48             | d0 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
